기준년월,광역지자체,중분류,지출액,전년도 지출액
2019,강원도,총소비,1.217194404E9,1.205190494E9
2019,강원도,호텔,3.6710254E7,3.2149401E7
2019,강원도,콘도,8.1222765E7,9.6491815E7
2019,강원도,캠핑장/펜션,979620.0,971433.0
2019,강원도,기타숙박,6.3631796E7,5.9249201E7
2019,강원도,여행업,3512082.0,3074890.0
2019,강원도,육상운송,383866.0,343852.0
2019,강원도,수상운송,348257.0,377162.0
2019,강원도,항공운송,62208.0,5498.0
2019,강원도,렌터카,665573.0,762851.0
2019,강원도,면세점,111350.0,128744.0
2019,강원도,관광기념품,3724972.0,3908734.0
2019,강원도,레저용품쇼핑,9.6967113E7,1.060567E8
2019,강원도,대형쇼핑몰,9.0298317E7,9.8682775E7
2019,강원도,관광유원시설,4680314.0,4044896.0
2019,강원도,골프장,1.18837986E8,1.07353641E8
2019,강원도,스키장,6213263.0,5304598.0
2019,강원도,기타레저,1.4167151E7,1.2991452E7
2019,강원도,문화서비스,2.0845195E7,1.2283481E7
2019,강원도,식음료,6.73832322E8,6.61009372E8
2020,강원도,총소비,1.087017848E9,1.217194404E9
2020,강원도,콘도,6.547928E7,8.1222765E7
2020,강원도,호텔,2.9382599E7,3.6710254E7
2020,강원도,캠핑장/펜션,1605664.0,979620.0
2020,강원도,기타숙박,5.3982305E7,6.3631796E7
2020,강원도,여행업,1593515.0,3512082.0
2020,강원도,육상운송,221565.0,383866.0
2020,강원도,수상운송,168395.0,348257.0
2020,강원도,항공운송,81352.0,62208.0
2020,강원도,렌터카,512023.0,665573.0
2020,강원도,면세점,62504.0,111350.0
2020,강원도,관광기념품,2870202.0,3724972.0
2020,강원도,레저용품쇼핑,8.1807152E7,9.6967113E7
2020,강원도,대형쇼핑몰,8.0011804E7,9.0298317E7
2020,강원도,관광유원시설,4308819.0,4680314.0
2020,강원도,골프장,1.4057736E8,1.18837986E8
2020,강원도,스키장,3757766.0,6213263.0
2020,강원도,기타레저,4769609.0,1.4167151E7
2020,강원도,문화서비스,1.0703202E7,2.0845195E7
2020,강원도,식음료,6.05122732E8,6.73832322E8
