광역지자체명,기초지자체명,기초지자체별 거주 방문자 수
경기도,남양주시,323379.0
경기도,성남시 분당구,161854.0
경기도,부천시,159019.0
경기도,의정부시,158571.0
경기도,화성시,147556.0
경기도,광주시,135874.0
경기도,용인시 기흥구,118832.0
경기도,고양시 덕양구,114230.0
경기도,김포시,105864.0
경기도,하남시,105802.0
경기도,구리시,93608.0
경기도,파주시,92130.0
경기도,용인시 수지구,90839.0
경기도,고양시 일산동구,86191.0
경기도,이천시,79146.0
경기도,수원시 영통구,78183.0
경기도,양주시,74970.0
경기도,용인시 처인구,73185.0
경기도,성남시 수정구,72772.0
경기도,안양시 동안구,71190.0
경기도,평택시,70396.0
경기도,시흥시,69580.0
경기도,수원시 권선구,68464.0
경기도,고양시 일산서구,68134.0
경기도,포천시,67494.0
경기도,양평군,60960.0
경기도,수원시 장안구,59896.0
경기도,군포시,58555.0
경기도,안산시 상록구,57687.0
경기도,광명시,56990.0
경기도,성남시 중원구,56920.0
경기도,안산시 단원구,48069.0
경기도,안양시 만안구,45140.0
경기도,여주시,43225.0
경기도,가평군,40985.0
경기도,오산시,39725.0
경기도,수원시 팔달구,36526.0
경기도,의왕시,35378.0
경기도,안성시,34055.0
경기도,동두천시,29096.0
경기도,과천시,18372.0
경기도,연천군,14693.0
강원도,속초시,1245615.0
강원도,강릉시,915380.0
강원도,춘천시,291669.0
강원도,원주시,173166.0
강원도,고성군,141326.0
강원도,동해시,107030.0
강원도,인제군,96775.0
강원도,홍천군,69584.0
강원도,삼척시,59244.0
강원도,평창군,40666.0
강원도,정선군,22365.0
강원도,횡성군,22085.0
강원도,양구군,19992.0
강원도,태백시,19394.0
강원도,철원군,16572.0
강원도,화천군,12446.0
강원도,영월군,9723.0
서울특별시,송파구,231542.0
서울특별시,강남구,179050.0
서울특별시,강동구,165970.0
서울특별시,노원구,164076.0
서울특별시,강서구,135824.0
서울특별시,서초구,129434.0
서울특별시,성북구,121891.0
서울특별시,관악구,121678.0
서울특별시,중랑구,117446.0
서울특별시,광진구,116120.0
서울특별시,은평구,112889.0
서울특별시,마포구,105634.0
서울특별시,동작구,105042.0
서울특별시,성동구,101238.0
서울특별시,양천구,96400.0
서울특별시,동대문구,95816.0
서울특별시,영등포구,95039.0
서울특별시,도봉구,87731.0
서울특별시,서대문구,83394.0
서울특별시,구로구,81610.0
서울특별시,강북구,81364.0
서울특별시,용산구,68397.0
서울특별시,종로구,44202.0
서울특별시,금천구,39676.0
서울특별시,중구,39456.0
인천광역시,서구,106610.0
인천광역시,부평구,83251.0
인천광역시,남동구,76958.0
인천광역시,연수구,58804.0
인천광역시,미추홀구,55867.0
인천광역시,계양구,54502.0
인천광역시,중구,24423.0
인천광역시,강화군,16286.0
인천광역시,동구,6892.0
인천광역시,옹진군,2040.0
충청북도,충주시,58079.0
충청북도,청주시 흥덕구,32067.0
충청북도,제천시,30216.0
충청북도,음성군,28868.0
충청북도,청주시 청원구,28483.0
충청북도,청주시 서원구,26817.0
충청북도,청주시 상당구,19124.0
충청북도,진천군,13825.0
충청북도,단양군,7494.0
충청북도,증평군,6888.0
충청북도,괴산군,6573.0
충청북도,옥천군,4424.0
충청북도,영동군,3997.0
충청북도,보은군,2856.0
충청남도,천안시 서북구,40208.0
충청남도,아산시,33824.0
충청남도,천안시 동남구,28973.0
충청남도,당진시,16916.0
충청남도,서산시,15746.0
충청남도,논산시,9037.0
충청남도,홍성군,7560.0
