기준연월,목적지 유형,검색량
202003,기타관광,1371
202003,숙박,26886
202003,음식,24396
202003,자연관광,27321
202003,쇼핑,2198
202003,문화관광,4016
202003,역사관광,19783
202003,체험관광,534
202003,레저스포츠,7560
202004,기타관광,1445
202004,숙박,34754
202004,음식,26411
202004,자연관광,30520
202004,쇼핑,3074
202004,문화관광,4297
202004,역사관광,22363
202004,체험관광,536
202004,레저스포츠,9416
202005,기타관광,2071
202005,숙박,46749
202005,음식,40500
202005,자연관광,47859
202005,쇼핑,4282
202005,문화관광,5679
202005,역사관광,30548
202005,체험관광,711
202005,레저스포츠,16436
202006,기타관광,3393
202006,숙박,54367
202006,음식,45599
202006,자연관광,57281
202006,쇼핑,4008
202006,문화관광,5526
202006,역사관광,25679
202006,체험관광,670
202006,레저스포츠,24463
202008,기타관광,6494
202008,숙박,113124
202008,음식,98311
202008,자연관광,102462
202008,쇼핑,7900
202008,문화관광,10690
202008,역사관광,38355
202008,체험관광,1241
202008,레저스포츠,54228
202001,기타관광,2203
202001,숙박,31348
202001,음식,22226
202001,자연관광,24172
202001,쇼핑,3040
202001,문화관광,4261
202001,역사관광,27390
202001,체험관광,1242
202001,레저스포츠,4820
202007,기타관광,5036
202007,숙박,70851
202007,음식,59201
202007,자연관광,66563
202007,쇼핑,5411
202007,문화관광,7003
202007,역사관광,27913
202007,체험관광,831
202007,레저스포츠,34643
202011,기타관광,3053
202011,숙박,35741
202011,음식,31346
202011,자연관광,28360
202011,쇼핑,3478
202011,문화관광,6702
202011,역사관광,23673
202011,체험관광,547
202011,레저스포츠,12890
202012,기타관광,2378
202012,숙박,34052
202012,음식,27282
202012,자연관광,30121
202012,쇼핑,2794
202012,문화관광,5901
202012,역사관광,20437
202012,체험관광,439
202012,레저스포츠,9782
202002,기타관광,1498
202002,숙박,24726
202002,음식,19037
202002,자연관광,17581
202002,쇼핑,2067
202002,문화관광,2741
202002,역사관광,17576
202002,체험관광,683
202002,레저스포츠,4895
202009,기타관광,2756
202009,숙박,48231
202009,음식,38775
202009,자연관광,45365
202009,쇼핑,4197
202009,문화관광,4797
202009,역사관광,20391
202009,체험관광,480
202009,레저스포츠,23225
202010,기타관광,6004
202010,숙박,63544
202010,음식,52444
202010,자연관광,70214
202010,쇼핑,7630
202010,문화관광,10011
202010,역사관광,38008
202010,체험관광,1217
202010,레저스포츠,25760
