요일,방문 시간대,방문자 집중률
일요일,00~06시,4.1
일요일,06~11시,3.2
일요일,11~14시,1.7
일요일,14~18시,2.2
일요일,18~21시,1.8
일요일,21~24시,1.8
월요일,00~06시,3.9
월요일,06~11시,3.0
월요일,11~14시,1.6
월요일,14~18시,2.1
월요일,18~21시,1.8
월요일,21~24시,1.8
화요일,00~06시,3.7
화요일,06~11시,2.9
화요일,11~14시,1.6
화요일,14~18시,2.1
화요일,18~21시,1.7
화요일,21~24시,1.7
수요일,00~06시,3.7
수요일,06~11시,2.9
수요일,11~14시,1.6
수요일,14~18시,2.1
수요일,18~21시,1.7
수요일,21~24시,1.8
목요일,00~06시,3.7
목요일,06~11시,2.9
목요일,11~14시,1.6
목요일,14~18시,2.1
목요일,18~21시,1.8
목요일,21~24시,1.8
금요일,00~06시,3.9
금요일,06~11시,3.1
금요일,11~14시,1.7
금요일,14~18시,2.2
금요일,18~21시,1.9
금요일,21~24시,2.0
토요일,00~06시,3.9
토요일,06~11시,3.1
토요일,11~14시,1.7
토요일,14~18시,2.2
토요일,18~21시,1.9
토요일,21~24시,2.0
