광역지자체,검색건수,전년동기 검색건수,전년대비 검색증감률
서울특별시,52383256,44336276,18.1
부산광역시,18947939,15918477,19.0
대구광역시,9053946,6954087,30.2
인천광역시,24312097,21070390,15.4
광주광역시,4915727,3951377,24.4
대전광역시,6428603,5112094,25.8
울산광역시,4831493,3958418,22.1
세종특별자치시,2419549,1937514,24.9
경기도,114426386,94159875,21.5
강원도,31480134,27584199,14.1
충청북도,11584398,9044460,28.1
충청남도,19208239,15664884,22.6
전라북도,10568845,8892204,18.9
전라남도,14160528,12336984,14.8
경상북도,18160804,13792648,31.7
경상남도,19078925,16120608,18.4
제주특별자치도,21479239,15299938,40.4
