광역지자체,기초지자체,광역지자체 검색건수,광역지자체 검색건수 비율,기초지자체 검색건수,기초지자체 검색건수 비율
강원도,강릉시,31480134,8.2,5975321,19.0
강원도,고성군,31480134,8.2,2296186,7.3
강원도,동해시,31480134,8.2,822340,2.6
강원도,삼척시,31480134,8.2,1403918,4.5
강원도,속초시,31480134,8.2,4747665,15.1
강원도,양구군,31480134,8.2,117613,0.4
강원도,양양군,31480134,8.2,2600246,8.3
강원도,영월군,31480134,8.2,635207,2.0
강원도,원주시,31480134,8.2,2403498,7.6
강원도,인제군,31480134,8.2,528760,1.7
강원도,정선군,31480134,8.2,952747,3.0
강원도,철원군,31480134,8.2,532027,1.7
강원도,춘천시,31480134,8.2,3289037,10.4
강원도,태백시,31480134,8.2,261705,0.8
강원도,평창군,31480134,8.2,2202646,7.0
강원도,홍천군,31480134,8.2,1656644,5.3
강원도,화천군,31480134,8.2,154380,0.5
강원도,횡성군,31480134,8.2,900194,2.9
경기도,가평군,114426368,29.8,3362232,2.9
경기도,고양시 덕양구,114426368,29.8,5235517,4.6
경기도,고양시 일산동구,114426368,29.8,3132138,2.7
경기도,고양시 일산서구,114426368,29.8,1898458,1.7
경기도,과천시,114426368,29.8,1176573,1.0
경기도,광명시,114426368,29.8,1982755,1.7
경기도,광주시,114426368,29.8,3411704,3.0
경기도,구리시,114426368,29.8,1562512,1.4
경기도,군포시,114426368,29.8,630322,0.6
경기도,김포시,114426368,29.8,4208867,3.7
경기도,남양주시,114426368,29.8,6566167,5.7
경기도,동두천시,114426368,29.8,444649,0.4
경기도,부천시,114426368,29.8,2562604,2.2
경기도,성남시 분당구,114426368,29.8,3920358,3.4
경기도,성남시 수정구,114426368,29.8,1103544,1.0
경기도,성남시 중원구,114426368,29.8,523141,0.5
경기도,수원시 권선구,114426368,29.8,1722776,1.5
경기도,수원시 영통구,114426368,29.8,2555625,2.2
경기도,수원시 장안구,114426368,29.8,952490,0.8
경기도,수원시 팔달구,114426368,29.8,2356197,2.1
경기도,시흥시,114426368,29.8,4278162,3.7
경기도,안산시 단원구,114426368,29.8,2608569,2.3
경기도,안산시 상록구,114426368,29.8,1018258,0.9
경기도,안성시,114426368,29.8,2809885,2.5
경기도,안양시 동안구,114426368,29.8,1222597,1.1
경기도,안양시 만안구,114426368,29.8,927549,0.8
경기도,양주시,114426368,29.8,2288385,2.0
경기도,양평군,114426368,29.8,2621963,2.3
경기도,여주시,114426368,29.8,3138755,2.7
경기도,연천군,114426368,29.8,756359,0.7
경기도,오산시,114426368,29.8,1271228,1.1
경기도,용인시 기흥구,114426368,29.8,4424453,3.9
경기도,용인시 수지구,114426368,29.8,1826832,1.6
경기도,용인시 처인구,114426368,29.8,4431780,3.9
경기도,의왕시,114426368,29.8,1863203,1.6
경기도,의정부시,114426368,29.8,1734631,1.5
경기도,이천시,114426368,29.8,3001065,2.6
경기도,파주시,114426368,29.8,7035517,6.1
경기도,평택시,114426368,29.8,3102515,2.7
경기도,포천시,114426368,29.8,3450887,3.0
경기도,하남시,114426368,29.8,4454540,3.9
경기도,화성시,114426368,29.8,6850606,6.0
경상남도,거제시,19078925,5.0,2447115,12.8
경상남도,거창군,19078925,5.0,242672,1.3
경상남도,고성군,19078925,5.0,450017,2.4
경상남도,김해시,19078925,5.0,2279135,11.9
경상남도,남해군,19078925,5.0,1137751,6.0
경상남도,밀양시,19078925,5.0,865404,4.5
경상남도,사천시,19078925,5.0,895704,4.7
경상남도,산청군,19078925,5.0,284623,1.5
경상남도,양산시,19078925,5.0,1896499,9.9
경상남도,의령군,19078925,5.0,145127,0.8
경상남도,진주시,19078925,5.0,996303,5.2
경상남도,창녕군,19078925,5.0,383556,2.0
경상남도,창원시 마산합포구,19078925,5.0,821740,4.3
경상남도,창원시 마산회원구,19078925,5.0,244147,1.3
경상남도,창원시 성산구,19078925,5.0,1096175,5.7
경상남도,창원시 의창구,19078925,5.0,752592,3.9
경상남도,창원시 진해구,19078925,5.0,940253,4.9
경상남도,통영시,19078925,5.0,1614126,8.5
경상남도,하동군,19078925,5.0,649731,3.4
경상남도,함안군,19078925,5.0,286900,1.5
경상남도,함양군,19078925,5.0,227487,1.2
경상남도,합천군,19078925,5.0,421868,2.2
경상북도,경산시,18160803,4.7,753745,4.2
경상북도,경주시,18160803,4.7,5448829,30.0
경상북도,고령군,18160803,4.7,172793,1.0
경상북도,구미시,18160803,4.7,1113121,6.1
경상북도,군위군,18160803,4.7,299534,1.6
경상북도,김천시,18160803,4.7,457537,2.5
경상북도,문경시,18160803,4.7,624220,3.4
경상북도,봉화군,18160803,4.7,128327,0.7
경상북도,상주시,18160803,4.7,313856,1.7
경상북도,성주군,18160803,4.7,177841,1.0
경상북도,안동시,18160803,4.7,843603,4.6
경상북도,영덕군,18160803,4.7,768241,4.2
경상북도,영양군,18160803,4.7,26790,0.1
경상북도,영주시,18160803,4.7,370305,2.0
경상북도,영천시,18160803,4.7,448937,2.5
경상북도,예천군,18160803,4.7,233861,1.3
경상북도,울릉군,18160803,4.7,81930,0.5
경상북도,울진군,18160803,4.7,735699,4.1
경상북도,의성군,18160803,4.7,148965,0.8
경상북도,청도군,18160803,4.7,668709,3.7
경상북도,청송군,18160803,4.7,270796,1.5
경상북도,칠곡군,18160803,4.7,526828,2.9
경상북도,포항시 남구,18160803,4.7,1422926,7.8
경상북도,포항시 북구,18160803,4.7,2123410,11.7
광주광역시,광산구,4915727,1.3,1452243,29.5
광주광역시,남구,4915727,1.3,446956,9.1
광주광역시,동구,4915727,1.3,493394,10.0
광주광역시,북구,4915727,1.3,997367,20.3
광주광역시,서구,4915727,1.3,1525767,31.0
대구광역시,남구,9053946,2.4,590249,6.5
대구광역시,달서구,9053946,2.4,1403774,15.5
대구광역시,달성군,9053946,2.4,1122226,12.4
대구광역시,동구,9053946,2.4,1749338,19.3
대구광역시,북구,9053946,2.4,1117810,12.3
대구광역시,서구,9053946,2.4,257221,2.8
대구광역시,수성구,9053946,2.4,1866930,20.6
대구광역시,중구,9053946,2.4,946398,10.5
대전광역시,대덕구,6428596,1.7,551595,8.6
대전광역시,동구,6428596,1.7,690736,10.7
대전광역시,서구,6428596,1.7,1455264,22.6
대전광역시,유성구,6428596,1.7,2858304,44.5
대전광역시,중구,6428596,1.7,872697,13.6
부산광역시,강서구,18947939,4.9,2097841,11.1
부산광역시,금정구,18947939,4.9,660425,3.5
부산광역시,기장군,18947939,4.9,4314796,22.8
부산광역시,남구,18947939,4.9,868540,4.6
부산광역시,동구,18947939,4.9,484889,2.6
부산광역시,동래구,18947939,4.9,684443,3.6
부산광역시,부산진구,18947939,4.9,1089718,5.8
부산광역시,북구,18947939,4.9,384588,2.0
부산광역시,사상구,18947939,4.9,636891,3.4
부산광역시,사하구,18947939,4.9,738476,3.9
부산광역시,서구,18947939,4.9,443290,2.3
부산광역시,수영구,18947939,4.9,1151398,6.1
부산광역시,연제구,18947939,4.9,355343,1.9
부산광역시,영도구,18947939,4.9,631700,3.3
부산광역시,중구,18947939,4.9,557527,2.9
부산광역시,해운대구,18947939,4.9,3848074,20.3
서울특별시,강남구,52383255,13.7,7708161,14.7
서울특별시,강동구,52383255,13.7,1173740,2.2
서울특별시,강북구,52383255,13.7,843227,1.6
서울특별시,강서구,52383255,13.7,4695638,9.0
서울특별시,관악구,52383255,13.7,787910,1.5
서울특별시,광진구,52383255,13.7,1690246,3.2
서울특별시,구로구,52383255,13.7,767685,1.5
서울특별시,금천구,52383255,13.7,888079,1.7
서울특별시,노원구,52383255,13.7,913078,1.7
서울특별시,도봉구,52383255,13.7,499200,1.0
서울특별시,동대문구,52383255,13.7,859329,1.6
서울특별시,동작구,52383255,13.7,1009784,1.9
서울특별시,마포구,52383255,13.7,2802221,5.3
서울특별시,서대문구,52383255,13.7,824801,1.6
서울특별시,서초구,52383255,13.7,3714456,7.1
서울특별시,성동구,52383255,13.7,1452305,2.8
서울특별시,성북구,52383255,13.7,865789,1.7
서울특별시,송파구,52383255,13.7,5496630,10.5
서울특별시,양천구,52383255,13.7,886155,1.7
서울특별시,영등포구,52383255,13.7,3505247,6.7
서울특별시,용산구,52383255,13.7,2719064,5.2
서울특별시,은평구,52383255,13.7,927190,1.8
서울특별시,종로구,52383255,13.7,3050662,5.8
서울특별시,중구,52383255,13.7,3744273,7.1
서울특별시,중랑구,52383255,13.7,558385,1.1
세종특별자치시,세종특별자치시,2419549,0.6,2419549,100.0
울산광역시,남구,4831493,1.3,1289539,26.7
울산광역시,동구,4831493,1.3,592488,12.3
울산광역시,북구,4831493,1.3,814960,16.9
울산광역시,울주군,4831493,1.3,1630309,33.7
울산광역시,중구,4831493,1.3,504197,10.4
인천광역시,강화군,24312097,6.3,3184660,13.1
인천광역시,계양구,24312097,6.3,1032186,4.2
인천광역시,남동구,24312097,6.3,2636603,10.8
인천광역시,동구,24312097,6.3,151391,0.6
인천광역시,미추홀구,24312097,6.3,1160324,4.8
인천광역시,부평구,24312097,6.3,1222098,5.0
인천광역시,서구,24312097,6.3,2555084,10.5
인천광역시,연수구,24312097,6.3,4699926,19.3
인천광역시,옹진군,24312097,6.3,784493,3.2
인천광역시,중구,24312097,6.3,6885332,28.3
전라남도,강진군,14160528,3.7,225310,1.6
전라남도,고흥군,14160528,3.7,413833,2.9
전라남도,곡성군,14160528,3.7,211772,1.5
전라남도,광양시,14160528,3.7,544896,3.8
전라남도,구례군,14160528,3.7,487236,3.4
