기준년월,광역지자체,대분류,지출액,전년도 지출액
2019,전국,총소비,4.0691625874E10,4.107603323E10
2019,전국,호텔,5.23308018E8,4.91787945E8
2019,전국,콘도,1.9697869E8,2.0503536E8
2019,전국,캠핑장/펜션,4879110.0,4382556.0
2019,전국,기타숙박,8.22871407E8,8.54327421E8
2019,전국,여행업,1.9296464E8,2.1844519E8
2019,전국,육상운송,9.33012102E8,9.55744628E8
2019,전국,수상운송,6.6855378E7,6.3180185E7
2019,전국,항공운송,6.7950973E8,6.92416903E8
2019,전국,렌터카,6.7407644E7,5.6694515E7
2019,전국,면세점,6.87938988E8,7.12317323E8
2019,전국,관광기념품,7.2632366E7,6.7686627E7
2019,전국,레저용품쇼핑,2.290048613E9,2.520958865E9
2019,전국,대형쇼핑몰,9.728964103E9,1.0058041902E10
2019,전국,카지노,368.0,507.0
2019,전국,관광유원시설,1.10348899E8,1.01185222E8
2019,전국,골프장,1.448687196E9,1.299557625E9
2019,전국,스키장,2.0795688E7,2.0898397E7
2019,전국,기타레저,6.25161038E8,6.25030824E8
2019,전국,문화서비스,5.77819599E8,5.35003349E8
2019,전국,식음료,2.1641442299E10,2.1593337884E10
