광역지자체,방문자 수,전년도 방문자 수
서울특별시,4.8606368E8,6.76239448E8
부산광역시,1.25355958E8,1.54956548E8
대구광역시,8.6338895E7,1.07487542E8
인천광역시,1.37306507E8,1.86061142E8
광주광역시,5.668965E7,6.6038784E7
대전광역시,6.9557253E7,8.36281E7
울산광역시,4.3482816E7,4.8862667E7
세종특별자치시,2.3948388E7,2.5285404E7
경기도,5.50763372E8,6.64749407E8
강원도,1.31296509E8,1.45612023E8
충청북도,9.3486231E7,1.05848957E8
충청남도,1.38698894E8,1.56262E8
전라북도,8.3939339E7,9.3066716E7
전라남도,1.10730837E8,1.19694029E8
경상북도,1.52858211E8,1.73737828E8
경상남도,1.39633588E8,1.53464716E8
제주특별자치도,4.6601527E7,5.8816696E7
