광역지자체명,기초지자체명,광역지자체 방문자 수,광역지자체 방문자 비율,기초지자체 방문자 수,기초지자체 방문자 비율
강원도,고성군,2.32089402E8,3.3,1.1562375E7,5.0
강원도,춘천시,2.32089402E8,3.3,2.6862501E7,11.6
강원도,원주시,2.32089402E8,3.3,2.7186987E7,11.7
강원도,강릉시,2.32089402E8,3.3,3.0454953E7,13.1
강원도,동해시,2.32089402E8,3.3,9936522.0,4.3
강원도,태백시,2.32089402E8,3.3,4481003.0,1.9
강원도,속초시,2.32089402E8,3.3,2.1211981E7,9.1
강원도,삼척시,2.32089402E8,3.3,1.043029E7,4.5
강원도,홍천군,2.32089402E8,3.3,1.4882021E7,6.4
강원도,횡성군,2.32089402E8,3.3,1.0305802E7,4.4
강원도,영월군,2.32089402E8,3.3,6612844.0,2.8
강원도,평창군,2.32089402E8,3.3,1.5251394E7,6.6
강원도,정선군,2.32089402E8,3.3,6934282.0,3.0
강원도,철원군,2.32089402E8,3.3,5993590.0,2.6
강원도,화천군,2.32089402E8,3.3,4189583.0,1.8
강원도,양구군,2.32089402E8,3.3,2805040.0,1.2
강원도,인제군,2.32089402E8,3.3,8617407.0,3.7
강원도,양양군,2.32089402E8,3.3,1.4370828E7,6.2
경기도,고양시 덕양구,1.700411678E9,24.5,6.1864558E7,3.6
경기도,고양시 일산동구,1.700411678E9,24.5,5.8174738E7,3.4
경기도,고양시 일산서구,1.700411678E9,24.5,3.9732384E7,2.3
경기도,성남시 수정구,1.700411678E9,24.5,3.4146136E7,2.0
경기도,성남시 중원구,1.700411678E9,24.5,2.4905362E7,1.5
경기도,성남시 분당구,1.700411678E9,24.5,7.8896849E7,4.6
경기도,수원시 장안구,1.700411678E9,24.5,3.1434104E7,1.8
경기도,수원시 권선구,1.700411678E9,24.5,3.7745902E7,2.2
경기도,수원시 팔달구,1.700411678E9,24.5,5.2793167E7,3.1
경기도,수원시 영통구,1.700411678E9,24.5,4.9931749E7,2.9
경기도,안산시 상록구,1.700411678E9,24.5,2.7010296E7,1.6
경기도,의정부시,1.700411678E9,24.5,3.8999029E7,2.3
경기도,안산시 단원구,1.700411678E9,24.5,4.7655371E7,2.8
경기도,안양시 만안구,1.700411678E9,24.5,2.6883393E7,1.6
경기도,부천시,1.700411678E9,24.5,6.4417779E7,3.8
경기도,광명시,1.700411678E9,24.5,3.5811247E7,2.1
경기도,평택시,1.700411678E9,24.5,4.2032568E7,2.5
경기도,동두천시,1.700411678E9,24.5,8670110.0,0.5
경기도,안양시 동안구,1.700411678E9,24.5,3.655521E7,2.1
경기도,용인시 처인구,1.700411678E9,24.5,4.2907781E7,2.5
경기도,용인시 기흥구,1.700411678E9,24.5,5.5246207E7,3.2
경기도,용인시 수지구,1.700411678E9,24.5,3.3159134E7,2.0
경기도,과천시,1.700411678E9,24.5,1.7471835E7,1.0
경기도,구리시,1.700411678E9,24.5,4.4510742E7,2.6
경기도,남양주시,1.700411678E9,24.5,6.9207905E7,4.1
경기도,오산시,1.700411678E9,24.5,2.3982311E7,1.4
경기도,시흥시,1.700411678E9,24.5,5.2111003E7,3.1
경기도,군포시,1.700411678E9,24.5,2.344424E7,1.4
경기도,의왕시,1.700411678E9,24.5,2.5943241E7,1.5
경기도,하남시,1.700411678E9,24.5,5.4498396E7,3.2
경기도,파주시,1.700411678E9,24.5,5.0974825E7,3.0
경기도,이천시,1.700411678E9,24.5,3.7136088E7,2.2
경기도,안성시,1.700411678E9,24.5,3.4739449E7,2.0
경기도,김포시,1.700411678E9,24.5,5.0038569E7,2.9
경기도,화성시,1.700411678E9,24.5,9.0812688E7,5.3
경기도,광주시,1.700411678E9,24.5,4.6856203E7,2.8
경기도,양주시,1.700411678E9,24.5,3.0483498E7,1.8
경기도,포천시,1.700411678E9,24.5,2.846015E7,1.7
경기도,여주시,1.700411678E9,24.5,2.4600056E7,1.4
경기도,연천군,1.700411678E9,24.5,8701138.0,0.5
